Year,State,GeoFIPS,Avg Rent,Income per capita,Population,Rent as Percent Income,Rent Change YOY,Percent Rent Change YOY,Rent as Percent Income Change YOY
2021,MT,30000,1353.3252594671906,61743.52831628882,493903,26.302194831522073,359.0242223686033,36.10820153786134,4.764576774235099
2015,NC,37000,1102.4018641597966,46599.748038124766,5658999,28.388184329011025,NA,NA,NA
2016,NC,37000,1143.2571387368919,47413.63306767252,5761482,28.93489652071532,40.855274577095315,3.706023720146143,0.5467121917042945
2017,NC,37000,1188.308765315267,49188.18898361795,5848962,28.990100018791864,45.051626578375135,3.940638116473924,0.05520349807654412
2018,NC,37000,1238.0041681905004,51272.07196522036,5934047,28.974935961947047,49.69540287523341,4.182027796626482,-0.015164056844817253
2019,NC,37000,1301.720113911884,53638.09066071582,6017292,29.122291965517448,63.715945721383605,5.146666494226147,0.14735600357040113
2020,NC,37000,1360.8959284105674,56830.276428654826,6089347,28.736005114155233,59.175814498683394,4.54597066345163,-0.38628685136221463
2021,NC,37000,1476.4402930062774,60480.20345466923,6639420,29.294351711886495,115.54436459571002,8.490315988428144,0.558346597731262
2017,ND,38000,830.4006017960211,54344,178918,18.336536179803204,NA,NA,NA
2018,ND,38000,919.5355180783638,55021.954112276144,255406,20.054588018491398,89.13491628234272,10.733965761773105,1.7180518386881936
2019,ND,38000,987.5063786334941,56240.46633099141,256200,21.070373908105246,67.97086055513034,7.391868961970624,1.0157858896138485
2020,ND,38000,991.0276177912991,60042.54451499436,299079,19.806508051179826,3.5212391578049846,0.3565788772602822,-1.2638658569254204
2021,ND,38000,992.4196625581715,62947.97810654759,366822,18.91885380423256,1.3920447668723455,0.14046478038369833,-0.8876542469472675
2015,NE,31000,1219.503366567606,56084.087524927985,731106,26.09303466389964,NA,NA,NA
2016,NE,31000,1165.534273562959,52050.35207867332,1054182,26.87092541010147,-53.96909300464699,-4.425497664393293,0.7778907462018303
2017,NE,31000,1174.8464631490453,53758.194016328474,1067338,26.225132402153207,9.312189586086333,0.7989631705655127,-0.6457930079482637
2018,NE,31000,1228.6250951350796,55824.70447492408,1079482,26.410352334679345,53.77863198603427,4.5775029906364635,0.1852199325261381
2019,NE,31000,1270.7793748130616,57718.730146689915,1090259,26.420110870424736,42.154279677982004,3.43101242558841,0.009758535745390873
2020,NE,31000,1310.8476117982002,59837.42345550729,1099034,26.288182935006766,40.06823698513858,3.1530443269141686,-0.13192793541796988
